207.46.13.57 - - [26/Apr/2020:03:30:26 +0200] "GET /~lopresti/Didattica/RetiWeb/RetiWeb1213/HTTP_completo4.pdf HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
194.113.170.5 - - [26/Apr/2020:03:52:17 +0200] "GET /java.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:18 +0200] "GET /_query.php HTTP/1.1" 404 286 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:18 +0200] "GET /test.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:19 +0200] "GET /db_cts.php HTTP/1.1" 404 286 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:19 +0200] "GET /db_pma.php HTTP/1.1" 404 286 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:20 +0200] "GET /help-e.php HTTP/1.1" 404 286 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:21 +0200] "GET /license.php HTTP/1.1" 404 287 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:21 +0200] "GET /log.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:22 +0200] "GET /hell.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:22 +0200] "GET /pmd_online.php HTTP/1.1" 404 290 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:23 +0200] "GET /x.php HTTP/1.1" 404 281 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:23 +0200] "GET /shell.php HTTP/1.1" 404 285 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:24 +0200] "GET /htdocs.php HTTP/1.1" 404 286 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:24 +0200] "GET /b.php HTTP/1.1" 404 281 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:28 +0200] "GET /desktop.ini.php HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:29 +0200] "GET /z.php HTTP/1.1" 404 281 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:29 +0200] "GET /lala.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:32 +0200] "GET /wpc.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:33 +0200] "GET /wpo.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:33 +0200] "GET /t6nv.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:34 +0200] "GET /muhstik.php HTTP/1.1" 404 287 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:34 +0200] "GET /text.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:36 +0200] "GET /muhstik.php HTTP/1.1" 404 287 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:37 +0200] "GET /muhstik2.php HTTP/1.1" 404 288 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:37 +0200] "GET /muhstiks.php HTTP/1.1" 404 288 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:38 +0200] "GET /muhstik-dpr.php HTTP/1.1" 404 291 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:39 +0200] "GET /lol.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:39 +0200] "GET /uploader.php HTTP/1.1" 404 288 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:40 +0200] "GET /cmd.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:40 +0200] "GET /cmdd.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:41 +0200] "GET /knal.php HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:41 +0200] "GET /cmd.php HTTP/1.1" 404 283 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:42 +0200] "GET /shell.php HTTP/1.1" 404 285 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:42 +0200] "GET /appserv.php HTTP/1.1" 404 287 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:43 +0200] "GET /scripts/setup.php HTTP/1.1" 404 293 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:43 +0200] "GET /phpmyadmin/scripts/setup.php HTTP/1.1" 404 304 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
194.113.170.5 - - [26/Apr/2020:03:52:44 +0200] "GET /phpMyAdmin/scripts/setup.php HTTP/1.1" 404 304 "-" "Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 SE 2.X MetaSr 1.0"
